Id,ValorVencido,Sexo,EstadoCivil,DataNascimento,ValorPago
13278,"470,27",F,CASADO,1995-09-16 00:00:00,"470,27"
13279,"262,52",M,Outros,1955-11-17 00:00:00,"262,52"
13280,"452,89",F,Outros,1990-09-10 00:00:00,100
13281,"672,34",F,SOLTEIRO,1990-09-24 00:00:00,"672,34"
13282,"496,46",F,SOLTEIRO,1982-12-13 00:00:00,"496,46"
13283,"407,05",M,SOLTEIRO,1986-12-06 00:00:00,"407,05"
13284,"477,84",M,SOLTEIRO,1990-11-12 00:00:00,250
13285,131,F,CASADO,1990-10-05 00:00:00,131
13286,"682,26",M,SOLTEIRO,1971-05-06 00:00:00,"682,26"
13287,"195,49",F,SOLTEIRO,1974-10-22 00:00:00,"195,49"
13288,"2.477,2",M,CASADO,1991-07-19 00:00:00,100
13289,"494,45",F,SOLTEIRO,1979-10-28 00:00:00,"494,45"
13290,"89,39",M,SOLTEIRO,1980-01-05 00:00:00,"89,39"
13291,587,F,CASADO,1982-11-26 00:00:00,50
13292,"104,08",M,SOLTEIRO,1984-04-02 00:00:00,"104,08"
13293,"238,16",M,Outros,1981-09-29 00:00:00,"238,16"
13294,"150,47",F,CASADO,1995-12-06 00:00:00,"150,47"
13295,"125,36",F,CASADA,1981-07-08 00:00:00,"125,36"
13296,"80,74",F,CASADO,1994-09-20 00:00:00,"80,74"
13297,"144,78",F,SOLTEIRO,1989-04-03 00:00:00,"144,78"
13298,"780,45",F,CASADO,1986-05-20 00:00:00,100
13299,"50,16",F,CASADO,1974-08-02 00:00:00,"50,16"
13300,"2.371,76",F,CASADO,1977-04-22 00:00:00,200
13301,"263,92",M,CASADO,1987-02-20 00:00:00,"263,92"
13302,"153,29",F,SOLTEIRO,1989-02-04 00:00:00,"153,29"
13303,"237,12",F,CASADO,1995-04-30 00:00:00,"237,12"
13304,"97,15",F,CASADA,1966-08-25 00:00:00,"97,15"
13305,"51,39",F,CASADO,1988-08-10 00:00:00,"51,39"
13306,"1.507,7",F,CASADO,1953-05-17 00:00:00,100
13307,"174,23",F,CASADO,1973-08-09 00:00:00,"174,23"
13308,"2.534,6",M,SOLTEIRO,1961-03-27 00:00:00,200
13309,"125,78",M,SOLTEIRO,1975-03-29 00:00:00,"125,78"
13310,"50,06",F,CASADO,1965-01-31 01:00:00,"50,06"
13311,"50,35",M,CASADO,1980-10-20 00:00:00,"50,35"
13312,"231,36",F,SOLTEIRO,1977-03-01 00:00:00,"231,36"
13313,"72,43",F,CASADO,1977-01-28 00:00:00,"72,43"
13314,"114,23",F,SOLTEIRO,1976-01-15 00:00:00,"114,23"
13315,"123,78",F,CASADO,1972-08-15 00:00:00,"123,78"
13316,"133,79",F,CASADO,1976-03-05 00:00:00,"133,79"
13317,"50,74",F,SOLTEIRO,1981-01-19 00:00:00,"50,74"
13318,"986,59",F,CASADO,1991-10-12 00:00:00,"986,59"
13319,"53,55",M,CASADO,1969-06-20 00:00:00,"53,55"
13320,"136,56",F,CASADO,1971-08-19 00:00:00,"136,56"
13321,"642,77",F,SOLTEIRO,1973-10-12 00:00:00,"642,77"
13322,"984,1",F,CASADO,1961-02-21 00:00:00,100
13323,"77,95",F,CASADO,1962-01-23 00:00:00,"77,95"
13324,"124,45",M,SOLTEIRO,1973-12-20 00:00:00,"124,45"
13325,"59,66",M,SOLTEIRO,1977-04-03 00:00:00,"59,66"
13326,"148,82",F,CASADO,1989-03-27 00:00:00,"148,82"
13327,"99,48",M,CASADO,1986-05-17 00:00:00,"99,48"
